OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape
1172623,1423728,MSARCH_44025,NONFED,ST-MSMSS,ST/C&L,USMSMSS,Mississippi Forestry Commission,MSMSS,Mississippi Forestry Commission,,12,,,,,,,,1999,2451239.5,61,1359,7.0,Arson,2451239.5,61.0,1754,200.0,D,31.06410767,-89.68589445,14.0,MISSING/NOT SPECIFIED,MS,Marion,091,Marion,b'\x00\x01\xad\x10\x00\x00\x80\xd0\xd5\xb1\xe5kV\xc0\xb0\x12:\\i\x10?@\x80\xd0\xd5\xb1\xe5kV\xc0\xb0\x12:\\i\x10?@|\x01\x00\x00\x00\x80\xd0\xd5\xb1\xe5kV\xc0\xb0\x12:\\i\x10?@\xfe'
1293348,1764112,SFO-NY-NY1806-2008-16,NONFED,ST-NASF,ST/C&L,USNYNYX,Fire Department of New York,NY1806,Fire Department of New York,,NY1806-2008-16,,,,,,,,2008,2454563.5,98,1457,4.0,Campfire,2454563.5,98.0,1457,0.5,B,43.05375107,-74.63132836,14.0,MISSING/NOT SPECIFIED,NY,FULTON,035,Fulton,"b'\x00\x01\xad\x10\x00\x00,\xcf\x10\xafg\xa8R\xc08\xe3\xa7P\xe1\x86E@,\xcf\x10\xafg\xa8R\xc08\xe3\xa7P\xe1\x86E@|\x01\x00\x00\x00,\xcf\x10\xafg\xa8R\xc08\xe3\xa7P\xe1\x86E@\xfe'"
484105,520991,SFO-ME0279-07310002,NONFED,ST-NASF,ST/C&L,USMEMES,Maine Forest Service,MEMES,Maine Forest Service,,,,,,,,,,2007,2454227.5,127,,5.0,Debris Burning,,,,6.4,B,47.16792,-68.55042,14.0,MISSING/NOT SPECIFIED,ME,Aroostook,003,Aroostook,"b'\x00\x01\xad\x10\x00\x00\x1c\xc4\xce\x14:#Q\xc0\x18,\x0eg~\x95G@\x1c\xc4\xce\x14:#Q\xc0\x18,\x0eg~\x95G@|\x01\x00\x00\x00\x1c\xc4\xce\x14:#Q\xc0\x18,\x0eg~\x95G@\xfe'"
93195,94229,FS-319079,FED,FS-FIRESTAT,FS,USAROZF,Ozark & St. Francis National Forests,0810,Ozark-St. Francis National Forest,83,,,CEDAR MT.,,,,,,1996,2450158.5,76,1630,5.0,Debris Burning,2450158.5,76.0,1900,2.0,B,35.45694444,-92.70777778,14.0,MISSING/NOT SPECIFIED,AR,,,,"b""\x00\x01\xad\x10\x00\x00\xdc{,;L-W\xc0\xd0\xf1\xc8'}\xbaA@\xdc{,;L-W\xc0\xd0\xf1\xc8'}\xbaA@|\x01\x00\x00\x00\xdc{,;L-W\xc0\xd0\xf1\xc8'}\xbaA@\xfe"""
659800,721159,SFO-UT0287-028604,NONFED,ST-NASF,ST/C&L,USUTUTS,Utah Division Forestry Fire State Lands,UTUTS,Utah Division Forestry Fire State Lands,,,,,,,,,,2007,2454290.5,190,,13.0,Missing/Undefined,,,,3.0,B,41.61181081,-112.2598917,14.0,MISSING/NOT SPECIFIED,UT,Box Elder,003,Box Elder,b'\x00\x01\xad\x10\x00\x00\x1c\x00\xcc\x10\xa2\x10\\\xc0\x10%\x0e\xd1O\xceD@\x1c\x00\xcc\x10\xa2\x10\\\xc0\x10%\x0e\xd1O\xceD@|\x01\x00\x00\x00\x1c\x00\xcc\x10\xa2\x10\\\xc0\x10%\x0e\xd1O\xceD@\xfe'
201126,203824,W-405122,FED,DOI-WFMI,BIA,USAZFTA,Fort Apache Agency,AZFTA,Fort Apache Agency,42,,,CBQ SEWER,,,,,,1996,2450185.5,103,1700,8.0,Children,2450185.5,103.0,2100,2.0,B,34.1,-110.4773,2.0,BIA,AZ,,,,b'\x00\x01\xad\x10\x00\x00\\\x98L\x15\x8c\x9e[\xc0\xd8\xcc\xcc\xcc\xcc\x0cA@\\\x98L\x15\x8c\x9e[\xc0\xd8\xcc\xcc\xcc\xcc\x0cA@|\x01\x00\x00\x00\\\x98L\x15\x8c\x9e[\xc0\xd8\xcc\xcc\xcc\xcc\x0cA@\xfe'
1533045,201388414,TFS-TXFD2009-214555,NONFED,ST-TXTXS,ST/C&L,USTXTXS,Texas A & M Forest Service,TXSFD,Gun Barrel City,,214555,,SHERWOOD GRASS FIRE,,,,,,2009,2454910.5,79,,5.0,Debris Burning,,,,5.0,B,32.31202553,-96.14971115,13.0,STATE OR PRIVATE,TX,Henderson,213,Henderson,"b""\x00\x01\xad\x10\x00\x00,F\x13\xde\x94\tX\xc0\x00o\xdbs\xf0'@@,F\x13\xde\x94\tX\xc0\x00o\xdbs\xf0'@@|\x01\x00\x00\x00,F\x13\xde\x94\tX\xc0\x00o\xdbs\xf0'@@\xfe"""
1234302,1636610,SFO-AZ-080193,NONFED,ST-NASF,ST/C&L,USAZAZS,Arizona State Forestry Division - State Office,AZAZS,Arizona State Forestry Division - State Office,,AZ-080193,,ROUTE 66,,,,,,2008,2454578.5,113,1415,9.0,Miscellaneous,2454578.5,113.0,1415,0.1,A,35.3182,-112.8409,14.0,MISSING/NOT SPECIFIED,AZ,,,,b'\x00\x01\xad\x10\x00\x004\xcd;N\xd15\\\xc00\xcb\x10\xc7\xba\xa8A@4\xcd;N\xd15\\\xc00\xcb\x10\xc7\xba\xa8A@|\x01\x00\x00\x004\xcd;N\xd15\\\xc00\xcb\x10\xc7\xba\xa8A@\xfe'
816153,923237,STATE_MS_63267,NONFED,ST-MSMSS,ST/C&L,USMSMSS,Mississippi Forestry Commission,MS East Central,MSS East Central District,,2-2783,,,,,,,,2006,2453853.5,118,,7.0,Arson,,,,50.0,C,33.5197,-89.3697,14.0,MISSING/NOT SPECIFIED,MS,,,,b'\x00\x01\xad\x10\x00\x000U0*\xa9WV\xc0\xa0\xdd\x93\x87\x85\xc2@@0U0*\xa9WV\xc0\xa0\xdd\x93\x87\x85\xc2@@|\x01\x00\x00\x000U0*\xa9WV\xc0\xa0\xdd\x93\x87\x85\xc2@@\xfe'
1846371,300272376,SFO-2015ARARSAFC30510,NONFED,ST-NASF,ST/C&L,USARARS,Arkansas Forestry Commission,ARARS,Arkansas Forestry Commission,,AFC30510,,,,,,,,2015,2457253.5,231,1741,9.0,Miscellaneous,2457253.5,231.0,1813,1.0,B,33.05077,-91.98992,8.0,PRIVATE,AR,,,,b'\x00\x01\xad\x10\x00\x00\x00jj\xd9Z\xffV\xc0 \xcf\xa0\xa1\x7f\x86@@\x00jj\xd9Z\xffV\xc0 \xcf\xa0\xa1\x7f\x86@@|\x01\x00\x00\x00\x00jj\xd9Z\xffV\xc0 \xcf\xa0\xa1\x7f\x86@@\xfe'
